global_step,episode,episode_return,episode_length,epsilon,loss,mean_q,makespan,avg_waiting_time,missed_deadlines,weighted_tardiness
16700,333,-3.48748,50,0.9471,0.00405,,66.905,8.4804,0.58,343.49
16750,334,-4.0595,50,0.947,0.003393,,66.341,8.2756,0.56,433.22
16800,335,-0.83079,50,0.9468,0.002817,,63.515,3.035,0.26,94.32
16850,336,-3.26407,50,0.9466,0.0037,,73.626,7.3749,0.54,341.53
16900,337,-0.98459,50,0.9465,0.005249,,71.595,3.5653,0.28,87.53
16950,338,-0.2827,50,0.9463,0.004753,,65.213,1.4374,0.18,39.81
17000,339,-3.70714,50,0.9462,0.003109,,69.609,8.5513,0.54,378.4
17050,340,-2.8285,50,0.946,0.005435,,74.221,6.7466,0.46,293.34
17100,341,-0.52572,50,0.9458,0.00412,,70.0,2.7877,0.26,51.92
17150,342,-1.263,50,0.9457,0.00359,,65.31,4.2418,0.42,120.98
17200,343,-2.09698,50,0.9455,0.003702,,65.856,4.5988,0.34,232.47
17250,344,-1.54945,50,0.9454,0.004568,,77.553,3.7687,0.28,173.14
17300,345,-0.61505,50,0.9452,0.003573,,68.914,2.9393,0.32,53.4
17350,346,-4.31813,50,0.9451,0.003089,,77.674,9.6202,0.62,448.71
17400,347,-6.55436,50,0.9449,0.003386,,75.942,9.7819,0.58,775.7
17450,348,-2.13287,50,0.9447,0.004374,,64.034,5.576,0.46,222.85
17500,349,-1.66013,50,0.9446,0.003043,,76.193,4.7525,0.38,164.69
17550,350,-3.88308,50,0.9444,0.004298,,64.0,7.143,0.6,447.95
17600,351,-4.34605,50,0.9443,0.003142,,71.25,9.3702,0.56,454.68
17650,352,-1.1011,50,0.9441,0.004226,,73.445,3.5787,0.24,108.99
17700,353,-1.10881,50,0.9439,0.003689,,72.117,3.6051,0.34,111.55
17750,354,0.00271,50,0.9438,0.004861,,82.276,0.6526,0.06,7.41
