global_step,episode,episode_return,episode_length,epsilon,loss,mean_q,makespan,avg_waiting_time,missed_deadlines,weighted_tardiness
14350,286,-1.29898,50,0.9546,0.005831,,64.774,5.0149,0.44,103.35
14400,287,-4.05038,50,0.9544,0.005689,,74.116,9.5357,0.64,404.07
14450,288,-1.47692,50,0.9542,0.006161,,74.635,5.7127,0.48,115.26
14500,289,-2.71084,50,0.9541,0.006685,,73.912,6.2543,0.64,286.03
14550,290,-1.35228,50,0.9539,0.006632,,64.51,4.3061,0.4,138.7
14600,291,-1.65298,50,0.9538,0.006091,,70.469,6.0176,0.52,128.99
14650,292,-1.40355,50,0.9536,0.006561,,67.13,4.6149,0.52,139.11
14700,293,-1.39895,50,0.9535,0.005668,,68.259,4.764,0.52,128.7
14750,294,-0.97809,50,0.9533,0.005607,,62.46,3.6601,0.36,96.91
14800,295,-0.69606,50,0.9531,0.006168,,81.06,2.9144,0.22,60.35
14850,296,-0.53975,50,0.953,0.006789,,70.97,2.6814,0.32,49.22
14900,297,-4.65061,50,0.9528,0.005845,,71.021,8.6704,0.62,517.05
14950,298,-1.8507,50,0.9527,0.006087,,67.05,5.8439,0.48,169.66
15000,299,-4.46379,50,0.9525,0.00557,,73.068,10.3028,0.66,447.48
15050,300,-2.96393,50,0.9523,0.010226,,70.747,7.8153,0.64,288.48
15100,301,-0.07222,50,0.9522,0.009811,,84.489,1.1237,0.14,16.68
15150,302,-2.46662,50,0.952,0.008821,,72.796,6.9245,0.54,232.43
15200,303,-1.54694,50,0.9519,0.009988,,65.562,5.4066,0.56,133.82
15250,304,-4.96771,50,0.9517,0.010011,,72.337,11.4755,0.68,492.57
15300,305,-2.28841,50,0.9516,0.008865,,76.412,7.4287,0.58,191.47
15350,306,-2.51821,50,0.9514,0.009298,,66.103,6.2566,0.52,267.31
15400,307,-2.9272,50,0.9512,0.008787,,68.504,7.3555,0.58,297.44
15450,308,-2.37634,50,0.9511,0.008484,,76.088,6.6604,0.52,233.65
15500,309,-1.40745,50,0.9509,0.009476,,73.33,5.0183,0.48,128.89
15550,310,-0.27173,50,0.9508,0.00799,,69.677,1.936,0.24,24.38
15600,311,-2.25201,50,0.9506,0.00848,,66.839,5.7661,0.42,232.07
15650,312,-1.59442,50,0.9504,0.009687,,65.611,5.8308,0.46,129.26
15700,313,-0.68311,50,0.9503,0.009219,,73.209,3.5961,0.36,48.66
15750,314,-2.4513,50,0.9501,0.009001,,71.602,7.5201,0.52,217.58
15800,315,-0.48687,50,0.95,0.009469,,73.32,2.6891,0.26,34.56
15850,316,-2.55713,50,0.9498,0.009177,,66.307,7.5738,0.6,233.28
15900,317,-1.96817,50,0.9496,0.008722,,65.872,5.4249,0.38,199.24
15950,318,-1.85257,50,0.9495,0.008566,,74.433,4.9993,0.38,194.19
